entry	name	Quality	ItemLevel	InventoryType	class	subclass	stat_type1	stat_value1	stat_type2	stat_value2	stat_type3	stat_value3	stat_type4	stat_value4	stat_type5	stat_value5	stat_type6	stat_value6	stat_type7	stat_value7	stat_type8	stat_value8	stat_type9	stat_value9	stat_type10	stat_value10	dmg_min1	dmg_max1	dmg_type1	delay	armor	spellid_1	spelltrigger_1	spellid_2	spelltrigger_2	spellid_3	spelltrigger_3	spellid_4	spelltrigger_4	spellid_5	spelltrigger_5
28189	Latro's Shifting Sword	3	115	13	2	7	3	15	37	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	131	0	1400	0	0	1	9334	1	0	0	0	0	0	0
28224	Wastewalker Helm	3	115	1	4	2	7	30	32	22	31	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	237	15814	1	0	0	0	0	0	0	0	0
28227	Sparking Arcanite Ring	3	115	11	4	0	7	13	5	14	31	10	32	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15714	1	0	1	0	0	0	0	0	0
28264	Wastewalker Tunic	3	115	5	4	2	3	28	7	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	292	15814	1	0	0	0	0	0	0	0	0
28288	Abacus of Violent Odds	3	115	12	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15817	1	33807	0	0	0	0	0	0	0
28438	Dragonmaw	4	123	13	2	4	7	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172	320	0	2700	0	21165	2	0	0	0	0	0	0	0	0
29151	Veteran's Musket	4	100	26	2	3	3	12	31	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	259	0	2700	0	9332	1	0	1	0	0	0	0	0	0
29172	Ashyen's Gift	4	105	11	4	0	31	21	7	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14047	1	0	1	0	0	0	0	0	0
29246	Nightfall Wristguards	4	110	9	4	2	3	24	7	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	15811	1	0	1	0	0	0	0	0	0
29247	Girdle of the Deathdealer	4	110	6	4	2	3	28	7	28	31	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	15814	1	0	1	0	0	0	0	0	0
29273	Khadgar's Knapsack	4	110	23	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28360	1	0	0	0	0	0	0	0	0
29349	Adamantine Chain of the Unbroken	4	110	2	4	0	7	19	32	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15806	1	0	1	0	0	0	0	0	0
29350	The Black Stalk	4	110	26	2	19	7	10	32	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	307	5	1500	0	14799	1	0	1	0	0	0	0	0	0
29370	Icon of the Silver Crescent	4	110	12	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17320	1	35163	0	0	0	0	0	0	0
29379	Ring of Arathi Warlords	4	110	11	4	0	7	24	32	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15811	1	0	1	0	0	0	0	0	0
29381	Choker of Vile Intent	4	110	2	4	0	3	20	7	18	31	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15809	1	0	1	0	0	0	0	0	0
29383	Bloodlust Brooch	4	110	12	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15821	1	35166	0	0	1	0	0	0	0
30038	Belt of Blasting	4	128	6	4	1	32	30	31	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	33484	1	0	0	0	0	0	0	0	0
30279	Mama's Insurance	2	111	26	2	3	3	10	32	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	163	0	2200	0	15807	1	0	1	0	0	0	0	0	0
30538	Midnight Legguards	4	110	7	4	2	7	30	32	27	31	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	305	15817	1	0	0	0	0	0	0	0	0
30834	Shapeshifter's Signet	4	100	11	4	0	3	25	7	18	37	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
31149	Gloves of Pandemonium	3	91	10	4	1	5	15	32	22	31	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	15715	1	0	0	0	0	0	0	0	0
31332	Blinkstrike	4	100	13	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	275	0	2600	0	38308	2	0	1	0	1	0	0	0	0
31920	Shaffar's Band of Brutality	4	100	11	4	0	32	20	31	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14049	1	0	1	0	0	0	0	0	0
32053	Merciless Gladiator's Spellblade	4	136	21	2	15	7	27	5	18	35	18	31	15	0	0	0	0	0	0	0	0	0	0	0	0	19	113	0	1600	0	42122	1	0	1	0	0	0	0	0	0
32087	Mask of the Deceiver	4	110	1	4	2	3	32	7	36	31	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	283	15817	1	0	0	0	0	0	0	0	0
32494	Destruction Holo-gogs	4	127	1	4	1	5	24	7	22	32	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	23730	1	0	1	0	1	0	1	12883	0
33173	Ragesteel Shoulders	3	115	3	4	4	4	32	32	17	31	9	7	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	873	0	0	0	0	0	0	0	0	0	0
